trial,temperature,kinetic_energy,n_edges,degree_mean,clustering_mean,density
75,6.087918060389594,1106.109657197172,135.0,2.7,0.3398650793650793,0.02727272727272727
76,3.140579580945001,453.89754399160086,126.0,2.52,0.29074603174603175,0.025454545454545455
77,9.966499687987445,1331.8252343602894,148.0,2.96,0.3727063492063491,0.0298989898989899
78,3.4725421956758944,450.3226394649314,144.0,2.88,0.4264761904761905,0.02909090909090909
79,4.947196408612421,671.658704980123,117.0,2.34,0.374,0.023636363636363636
80,3.4408444154631095,599.537829699612,111.0,2.22,0.32733333333333325,0.022424242424242423
81,0.2622855606717206,36.3556091176336,143.0,2.86,0.4010476190476191,0.028888888888888888
82,3.373828840968976,522.7989386608206,127.0,2.54,0.36304761904761906,0.025656565656565655
83,6.988541232973596,1104.929567223562,127.0,2.54,0.365,0.025656565656565655
84,8.58502574998548,1356.5840750814002,114.0,2.28,0.29033333333333333,0.02303030303030303
85,8.923900944462837,1531.3984528752087,152.0,3.04,0.41611904761904767,0.030707070707070707
86,9.356752785541447,1488.8581776782923,127.0,2.54,0.25666666666666665,0.025656565656565655
87,6.68731958053661,1045.774426231981,158.0,3.16,0.4838333333333333,0.03191919191919192
88,4.680042771802912,679.5646728961229,127.0,2.54,0.4064285714285715,0.025656565656565655
89,9.42937904726894,1277.4141581101505,114.0,2.28,0.26466666666666666,0.02303030303030303
90,5.170271581170438,858.7970410067518,147.0,2.94,0.4717380952380952,0.029696969696969697
91,1.9816297205176194,280.03871113711256,112.0,2.24,0.34719047619047616,0.022626262626262626
92,7.172027769687917,1123.222487112096,131.0,2.62,0.33752380952380956,0.026464646464646465
93,8.965806037113966,1448.3705068087233,118.0,2.36,0.35900000000000004,0.02383838383838384
94,1.204315878709776,142.8279855129902,135.0,2.7,0.4109761904761905,0.02727272727272727
95,8.927042673863435,1134.3264839536912,135.0,2.7,0.4255952380952381,0.02727272727272727
96,0.7738435359164411,117.48120566265911,126.0,2.52,0.34600000000000003,0.025454545454545455
97,4.172349063340575,558.8816504924642,125.0,2.5,0.4039999999999999,0.025252525252525252
98,5.216521809012607,695.5741113619969,130.0,2.6,0.3857142857142857,0.026262626262626262
99,3.4341542486104903,533.3809363591363,128.0,2.56,0.3586666666666667,0.02585858585858586
100,2.280438881533236,303.3415986025086,120.0,2.4,0.4089999999999999,0.024242424242424242
101,7.610360998340808,1220.0545041786554,113.0,2.26,0.2833333333333334,0.02282828282828283
102,3.1933954897422128,456.43056081685313,117.0,2.34,0.2936666666666667,0.023636363636363636
103,1.9849458889942029,289.4546020093417,134.0,2.68,0.34723809523809523,0.02707070707070707
104,4.441378627274924,749.3460423545284,152.0,3.04,0.41327777777777774,0.030707070707070707
105,4.539820652536448,751.3635387378699,111.0,2.22,0.2786666666666667,0.022424242424242423
106,4.690713556053835,737.4278303716592,115.0,2.3,0.34166666666666656,0.023232323232323233
107,9.52810197902441,1564.4513853382655,98.0,1.96,0.2763333333333333,0.019797979797979797
108,3.2153358593476162,484.09597139543746,143.0,2.86,0.31799999999999995,0.028888888888888888
109,2.195715874640959,356.90981649664786,135.0,2.7,0.3963333333333333,0.02727272727272727
110,7.958070562663855,1157.4557021881378,125.0,2.5,0.3469761904761905,0.025252525252525252
111,7.918292699208457,1090.6373270287127,118.0,2.36,0.3706666666666667,0.02383838383838384
112,4.719115240764012,638.3784637005191,108.0,2.16,0.36733333333333335,0.02181818181818182
113,5.517769428398191,821.8892490947923,139.0,2.78,0.41200000000000003,0.02808080808080808
114,0.9273224515136121,148.9631803472124,121.0,2.42,0.37833333333333335,0.024444444444444446
115,9.552285009927905,1372.4056749156857,149.0,2.98,0.44442857142857145,0.0301010101010101
116,8.34231802051013,1084.440579583586,170.0,3.4,0.5056349206349205,0.03434343434343434
117,8.679189329122911,1601.0539076131831,142.0,2.84,0.37557142857142856,0.028686868686868688
118,3.7386747214897125,526.0468325456,122.0,2.44,0.31673809523809526,0.024646464646464646
119,1.9619436049538361,275.2915467369388,141.0,2.82,0.4743333333333333,0.028484848484848484
120,3.3595930103609115,550.0826013432393,116.0,2.32,0.28833333333333333,0.023434343434343436
121,6.596935555643122,1061.440756128366,139.0,2.78,0.44750000000000006,0.02808080808080808
122,2.7661685007398797,450.93747639466903,137.0,2.74,0.3906666666666666,0.027676767676767678
123,5.498438615718746,766.6497693078113,117.0,2.34,0.3651428571428571,0.023636363636363636
124,7.1867837446149005,1126.8412009931274,140.0,2.8,0.3593333333333333,0.028282828282828285
125,1.277096596615177,223.94743506643482,143.0,2.86,0.4238095238095238,0.028888888888888888
126,6.793525914874781,1013.7932272703911,131.0,2.62,0.32090476190476186,0.026464646464646465
127,7.826688561743034,1024.2400689841916,115.0,2.3,0.38823809523809527,0.023232323232323233
128,6.2048479864766,1103.3994800274027,133.0,2.66,0.28634920634920635,0.026868686868686868
129,1.0218821851906275,147.21623508693023,124.0,2.48,0.3674285714285714,0.025050505050505052
130,4.097724914595343,601.2299474979943,130.0,2.6,0.3953333333333333,0.026262626262626262
131,9.476967820920809,1578.6481189702909,134.0,2.68,0.40299999999999997,0.02707070707070707
132,1.6124760740272872,280.69207055105085,132.0,2.64,0.40109523809523806,0.02666666666666667
133,4.624537215946152,701.2645784996294,133.0,2.66,0.36604761904761907,0.026868686868686868
134,3.7886390969267025,602.6195857625612,120.0,2.4,0.40571428571428575,0.024242424242424242
135,5.558464405429301,720.8746967428632,117.0,2.34,0.24290476190476187,0.023636363636363636
136,5.057984298147479,771.7154739251303,118.0,2.36,0.36166666666666664,0.02383838383838384
137,3.888621830281587,495.3258837481703,127.0,2.54,0.3792857142857143,0.025656565656565655
138,5.038358280775242,807.7111674789027,148.0,2.96,0.4217619047619048,0.0298989898989899
139,8.052708633675286,1260.9746458834704,124.0,2.48,0.5079999999999999,0.025050505050505052
140,5.369699630210703,864.1755018778274,126.0,2.52,0.321,0.025454545454545455
141,0.1052718904397478,15.253384065950117,110.0,2.2,0.28495238095238096,0.022222222222222223
142,0.20509719729460482,29.257174945147504,118.0,2.36,0.4025714285714285,0.02383838383838384
143,5.526003581882177,875.4326134397363,124.0,2.48,0.35,0.025050505050505052
144,3.545872052735773,563.5679073935028,130.0,2.6,0.3755238095238095,0.026262626262626262
145,8.975373317050348,1507.3167052222254,116.0,2.32,0.29533333333333334,0.023434343434343436
146,5.347323654302116,772.8518526008002,126.0,2.52,0.38033333333333325,0.025454545454545455
147,8.361214270918076,1327.8437499859042,137.0,2.74,0.3718492063492063,0.027676767676767678
148,7.885281791353361,1217.714819565199,125.0,2.5,0.44733333333333336,0.025252525252525252
149,3.9285448286816296,536.972834567592,132.0,2.64,0.45099999999999985,0.02666666666666667
150,8.792549666735322,1303.1077797674675,145.0,2.9,0.46573809523809523,0.029292929292929294
151,5.020705311470192,725.2575749602213,119.0,2.38,0.3408571428571429,0.02404040404040404
152,6.961341920744039,999.1785720621469,137.0,2.74,0.4623809523809524,0.027676767676767678
153,0.8694051948504511,137.23528811512074,120.0,2.4,0.37233333333333335,0.024242424242424242
154,7.628821839350172,1143.1421208091626,136.0,2.72,0.36804761904761896,0.027474747474747475
155,2.4244373919163715,332.7491432472334,145.0,2.9,0.449,0.029292929292929294
156,9.456553479068873,1508.0873906496495,114.0,2.28,0.2723333333333333,0.02303030303030303
157,8.310095878516682,1480.487612294571,153.0,3.06,0.4046111111111111,0.03090909090909091
158,4.057762975493453,581.228732657678,118.0,2.36,0.39799999999999996,0.02383838383838384
159,4.032866608887617,563.3688405879413,144.0,2.88,0.41661904761904756,0.02909090909090909
160,5.89863208119714,904.5102806766629,161.0,3.22,0.4506746031746032,0.032525252525252527
161,4.328498075382947,604.649019450579,143.0,2.86,0.3887142857142857,0.028888888888888888
162,2.810351747388237,440.3363613933875,115.0,2.3,0.3713333333333334,0.023232323232323233
163,1.0762307142135554,160.65231765101646,134.0,2.68,0.4003333333333334,0.02707070707070707
164,8.363622580982291,1252.11153849198,121.0,2.42,0.335,0.024444444444444446
165,2.7341380357262457,437.2865710959121,124.0,2.48,0.2897063492063492,0.025050505050505052
166,5.483187540661727,873.7960206747623,97.0,1.94,0.3186666666666666,0.019595959595959597
167,0.8816317689576011,129.4511219707896,126.0,2.52,0.312,0.025454545454545455
168,8.42734125813884,1265.4962488858619,140.0,2.8,0.3633571428571429,0.028282828282828285
169,1.9936202896131165,346.49482694702624,108.0,2.16,0.3066666666666667,0.02181818181818182
170,2.924858227595534,398.4778544572625,114.0,2.28,0.3344285714285714,0.02303030303030303
171,0.6690034717385894,99.48951592985608,126.0,2.52,0.3184285714285714,0.025454545454545455
172,0.5135177179551982,79.62496578010274,143.0,2.86,0.36733333333333335,0.028888888888888888
